hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,precision
"(64,)",135,0.11092134391073699,3.1261662164947863e-06,0.09733769250778156,0.7031151492206525,93,392,-1.0
"(64,)",113,0.35206134232107955,4.2199567355219134e-06,0.012664295409018847,0.6492458288491291,77,439,-1.0
"(64,)",142,0.1743857949587987,5.1700859263718185e-06,0.09447859766008833,0.12799862096614886,93,692,-1.0
"(64, 32)",102,0.1295134151763235,7.711013861038168e-06,0.01897491912054886,0.05382678667733712,85,199,-1.0
"(64,)",144,0.3674421845311564,2.708504766174954e-06,0.06487120193957442,0.6822443550001986,84,492,-1.0
"(64,)",149,0.291223150126153,4.915299985648264e-06,0.06728335558055236,0.8591914251457888,79,658,0.527632344386271
"(64,)",123,0.19718303896148584,2.4858740685526447e-06,0.06764657774413164,0.2682934420565348,84,365,-1.0
"(64,)",139,0.22635362576078488,2.8076425731626203e-06,0.07511737853174968,0.7901607917553889,80,664,-1.0
"(64,)",118,0.055322655119347454,5.740181985470864e-06,0.09343841289441816,0.9234415594981106,81,515,0.5695171611401978
"(64,)",81,0.389160987313582,6.536630024868179e-06,0.09240855803765861,0.8203658849822074,76,538,0.6457242582897034
"(64,)",144,0.34214017065551144,8.784561419923682e-06,0.01308292949995744,0.8929262133558011,89,637,0.5764979639325188
"(64, 32)",92,0.06508024402414002,1e-05,0.07358695463558382,0.7726561068355521,88,519,-1.0
"(64,)",147,0.14111375404199544,1e-05,0.08420356914048045,0.7722114505178729,80,626,-1.0
"(64,)",88,0.1754313041631108,8.2018568965515e-06,0.09510545558848266,0.8789507874860337,76,455,0.6247818499127399
"(64, 32)",125,0.4,1.785947930451315e-06,0.05583661885929716,0.38633641274579855,76,663,0.3077370564281559
"(64,)",104,0.3921806064068982,7.096716063359104e-06,0.021249497113846084,0.708080076462999,89,558,-1.0
"(64,)",77,0.11121926677723906,9.023454787325007e-06,0.08253131778260446,0.999,82,385,0.6096567771960442
"(64, 32)",104,0.3021036593521058,1e-07,0.06909978911733566,0.4711881032426967,95,323,0.19884787692019681
