hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,precision
"(64,)",141,0.2701233174948529,0.0059234511001632385,0.012679429516054502,0.8853426528685671,528,0.7399650959860384
"(64,)",102,0.15883802978788145,0.005571374777712616,0.048526558588173035,0.6251371371900151,568,0.7443280977312391
"(64,)",116,0.3325963179350325,0.006768806229262353,0.036666220316666845,0.15845939563162603,644,0.7766143106457242
"(64, 32)",92,0.07265519570923053,0.0006222620920043437,0.006803855011411983,0.7363822941565359,438,-1.0
"(64,)",103,0.33148870165524424,0.003723395863588516,0.06783094603935542,0.8510235326885174,686,0.7582897033158813
"(64,)",73,0.3752756440465178,0.0008203920908327672,0.0944977198044933,0.13040327761132484,183,-1.0
"(64, 32)",145,0.19661293338787159,0.004482361389412334,0.013553689636151936,0.998952493585349,359,0.506980802792321
"(64, 32)",150,0.3088448867544362,0.0028940566201430674,0.09293084837626849,0.9757646748183456,531,0.6972076788830716
"(64, 32)",145,0.15585635340270662,0.00700945594711957,0.03453143728941339,0.37401270666349384,440,0.6919720767888307
"(64,)",64,0.3660163698490925,0.0030736698938644857,0.0413286541247671,0.5419763732442734,387,0.7417102966841187
"(64,)",94,0.3923794803444397,0.006556514349693728,0.04128555780856534,0.5088606860982439,152,0.7408376963350786
"(64, 32)",103,0.34500178041301743,0.005971378773363855,0.06564617744498974,0.001404308246978971,542,0.7469458987783595
"(64, 32)",76,0.005622607660632763,0.0022024848269702173,0.01580075320095999,0.48821229312125136,152,-1.0
"(64, 32)",150,0.0,0.003335341606819613,0.06767451844180888,0.001,700,0.6352530541012216
"(64,)",64,0.4,0.005063486216184183,0.0001,0.999,700,0.27574171029668415
"(64, 32)",125,0.0,0.004078269660706758,0.0001,0.001,605,0.6116928446771379
"(64,)",103,0.3780489531101092,1e-06,0.013783534765565215,0.44083249524535106,255,-1.0
"(64,)",120,0.002737368325326229,0.006256473323977863,0.09723742607045113,0.6862130416287238,570,0.7530541012216405
"(64, 32)",64,0.15874362489392177,0.00547417736969695,0.1,0.001,150,0.6666666666666666
"(64, 32)",144,0.2886537982405142,0.0015084243304400726,0.07425790660449057,0.9309133341981256,629,0.7530541012216405
"(64,)",134,0.4,0.0019671649194079707,0.1,0.999,700,0.5759162303664922
"(64,)",64,0.4,0.00701,0.1,0.04406021042252431,342,0.743455497382199
"(64,)",115,0.4,0.00701,0.013094956396805238,0.999,150,0.4328097731239092
"(64,)",64,0.4,0.004504219097878326,0.1,0.001,416,0.7425828970331587
"(64,)",150,0.4,1e-06,0.1,0.999,150,-1.0
"(64,)",150,0.4,0.00045489225635394397,0.025827844427130455,0.2563807005234059,700,0.7513089005235603
"(64, 32)",64,0.29033732788263245,0.006078580093595079,0.1,0.001,275,0.6919720767888307
"(64,)",127,0.07728902696151502,0.003654916977937105,0.082114422609029,0.999,455,0.5471204188481675
"(64, 32)",92,0.0,0.000993160104847813,0.09339704076692759,0.14013973089326895,700,0.6326352530541013
"(64, 32)",64,0.0,0.00701,0.1,0.001,700,0.6657940663176265
